"MTU (CET)","Generation - Sum [MW] (D) / BZN|DE-AT-LU","Generation - Solar  [MW] (D) / BZN|DE-AT-LU","Generation - Wind Offshore  [MW] (D) / BZN|DE-AT-LU","Generation - Wind Onshore  [MW] (D) / BZN|DE-AT-LU"
"03.01.2017 23:15 - 03.01.2017 23:30 (CET)","36333","0","3144","33189"
"03.01.2017 23:30 - 03.01.2017 23:45 (CET)","36404","0","3136","33268"
"03.01.2017 23:45 - 04.01.2017 00:00 (CET)","36471","0","3128","33343"
"04.01.2017 00:00 - 04.01.2017 00:15 (CET)","36973","0","3102","33871"
"04.01.2017 00:15 - 04.01.2017 00:30 (CET)","37063","0","3102","33961"
"04.01.2017 00:30 - 04.01.2017 00:45 (CET)","37153","0","3100","34053"
"04.01.2017 00:45 - 04.01.2017 01:00 (CET)","37257","0","3100","34157"
"04.01.2017 01:00 - 04.01.2017 01:15 (CET)","36653","0","3096","33557"
"04.01.2017 01:15 - 04.01.2017 01:30 (CET)","36414","0","3069","33345"
"04.01.2017 01:30 - 04.01.2017 01:45 (CET)","36376","0","3039","33337"
"04.01.2017 01:45 - 04.01.2017 02:00 (CET)","35783","0","3011","32772"
"04.01.2017 02:00 - 04.01.2017 02:15 (CET)","35821","0","2981","32840"
"04.01.2017 02:15 - 04.01.2017 02:30 (CET)","35536","0","2948","32588"
"04.01.2017 02:30 - 04.01.2017 02:45 (CET)","35336","0","2918","32418"
"04.01.2017 02:45 - 04.01.2017 03:00 (CET)","35209","0","2886","32323"
"04.01.2017 03:00 - 04.01.2017 03:15 (CET)","35055","0","2852","32203"
"04.01.2017 03:15 - 04.01.2017 03:30 (CET)","35011","0","2828","32183"
"04.01.2017 03:30 - 04.01.2017 03:45 (CET)","34963","0","2802","32161"
"04.01.2017 03:45 - 04.01.2017 04:00 (CET)","35009","0","2775","32234"
"04.01.2017 04:00 - 04.01.2017 04:15 (CET)","35135","0","2541","32594"
"04.01.2017 04:15 - 04.01.2017 04:30 (CET)","35150","0","2549","32601"
"04.01.2017 04:30 - 04.01.2017 04:45 (CET)","35246","0","2560","32686"
"04.01.2017 04:45 - 04.01.2017 05:00 (CET)","35281","0","2567","32714"
"04.01.2017 05:00 - 04.01.2017 05:15 (CET)","35308","0","2575","32733"
"04.01.2017 05:15 - 04.01.2017 05:30 (CET)","35412","0","2557","32855"
"04.01.2017 05:30 - 04.01.2017 05:45 (CET)","35446","0","2540","32906"
"04.01.2017 05:45 - 04.01.2017 06:00 (CET)","35584","0","2522","33062"
"04.01.2017 06:00 - 04.01.2017 06:15 (CET)","35570","0","2501","33069"
"04.01.2017 06:15 - 04.01.2017 06:30 (CET)","35621","0","2485","33136"
"04.01.2017 06:30 - 04.01.2017 06:45 (CET)","35626","0","2465","33161"
"04.01.2017 06:45 - 04.01.2017 07:00 (CET)","35721","0","2447","33274"
"04.01.2017 07:00 - 04.01.2017 07:15 (CET)","35715","8","2427","33280"
"04.01.2017 07:15 - 04.01.2017 07:30 (CET)","35714","8","2457","33249"
