"Time (CET)","Day-ahead Total Load Forecast [MW] - BZN|DE-AT-LU","Actual Total Load [MW] - BZN|DE-AT-LU"
"04.01.2016 13:45 - 04.01.2016 14:00","64904","72564"
"04.01.2016 14:00 - 04.01.2016 14:15","64548","72402"
"04.01.2016 14:15 - 04.01.2016 14:30","64207","72015"
"04.01.2016 14:30 - 04.01.2016 14:45","64564","71789"
"04.01.2016 14:45 - 04.01.2016 15:00","63721","71722"
"04.01.2016 15:00 - 04.01.2016 15:15","64569","71715"
"04.01.2016 15:15 - 04.01.2016 15:30","64100","71324"
"04.01.2016 15:30 - 04.01.2016 15:45","64048","71061"
"04.01.2016 15:45 - 04.01.2016 16:00","63986","71027"
"04.01.2016 16:00 - 04.01.2016 16:15","63254","71129"
"04.01.2016 16:15 - 04.01.2016 16:30","64516","71738"
"04.01.2016 16:30 - 04.01.2016 16:45","65349","72685"
"04.01.2016 16:45 - 04.01.2016 17:00","66178","74084"
"04.01.2016 17:00 - 04.01.2016 17:15","66917","75097"
"04.01.2016 17:15 - 04.01.2016 17:30","68062","75798"
"04.01.2016 17:30 - 04.01.2016 17:45","68156","76409"
"04.01.2016 17:45 - 04.01.2016 18:00","68428","76529"
"04.01.2016 18:00 - 04.01.2016 18:15","67701","76310"
"04.01.2016 18:15 - 04.01.2016 18:30","67955","75992"
"04.01.2016 18:30 - 04.01.2016 18:45","67537","75710"
"04.01.2016 18:45 - 04.01.2016 19:00","67223","75655"
"04.01.2016 19:00 - 04.01.2016 19:15","68041","74829"
"04.01.2016 19:15 - 04.01.2016 19:30","65745","73971"
"04.01.2016 19:30 - 04.01.2016 19:45","65188","73011"
"04.01.2016 19:45 - 04.01.2016 20:00","65080","72251"
"04.01.2016 20:00 - 04.01.2016 20:15","63986","70930"
"04.01.2016 20:15 - 04.01.2016 20:30","62568","69211"
"04.01.2016 20:30 - 04.01.2016 20:45","61401","67892"
"04.01.2016 20:45 - 04.01.2016 21:00","60768","66814"
"04.01.2016 21:00 - 04.01.2016 21:15","60499","66153"
"04.01.2016 21:15 - 04.01.2016 21:30","59991","65528"
"04.01.2016 21:30 - 04.01.2016 21:45","59050","64879"
"04.01.2016 21:45 - 04.01.2016 22:00","59087","64007"
"04.01.2016 22:00 - 04.01.2016 22:15","58367","64330"
"04.01.2016 22:15 - 04.01.2016 22:30","58744","63702"
"04.01.2016 22:30 - 04.01.2016 22:45","57787","62548"
"04.01.2016 22:45 - 04.01.2016 23:00","56588","61435"
"04.01.2016 23:00 - 04.01.2016 23:15","55175","60197"
"04.01.2016 23:15 - 04.01.2016 23:30","54322","59082"
"04.01.2016 23:30 - 04.01.2016 23:45","53711","58175"
"04.01.2016 23:45 - 05.01.2016 00:00","52577","57372"
"05.01.2016 00:00 - 05.01.2016 00:15","53146","56732"
"05.01.2016 00:15 - 05.01.2016 00:30","52978","56072"
"05.01.2016 00:30 - 05.01.2016 00:45","52282","55338"
"05.01.2016 00:45 - 05.01.2016 01:00","52335","54652"
"05.01.2016 01:00 - 05.01.2016 01:15","51337","54272"
"05.01.2016 01:15 - 05.01.2016 01:30","50963","53653"
"05.01.2016 01:30 - 05.01.2016 01:45","50707","53172"
"05.01.2016 01:45 - 05.01.2016 02:00","50518","53114"
"05.01.2016 02:00 - 05.01.2016 02:15","50483","52622"
"05.01.2016 02:15 - 05.01.2016 02:30","50057","52287"
"05.01.2016 02:30 - 05.01.2016 02:45","49907","52121"
"05.01.2016 02:45 - 05.01.2016 03:00","49815","52408"
"05.01.2016 03:00 - 05.01.2016 03:15","49926","52505"
"05.01.2016 03:15 - 05.01.2016 03:30","49951","52584"
"05.01.2016 03:30 - 05.01.2016 03:45","49905","52921"
"05.01.2016 03:45 - 05.01.2016 04:00","50331","53044"
"05.01.2016 04:00 - 05.01.2016 04:15","50275","53438"
"05.01.2016 04:15 - 05.01.2016 04:30","50986","53466"
"05.01.2016 04:30 - 05.01.2016 04:45","50612","53801"
"05.01.2016 04:45 - 05.01.2016 05:00","51065","53749"
"05.01.2016 05:00 - 05.01.2016 05:15","52640","55177"
"05.01.2016 05:15 - 05.01.2016 05:30","52672","55732"
"05.01.2016 05:30 - 05.01.2016 05:45","53703","56383"
"05.01.2016 05:45 - 05.01.2016 06:00","54229","57362"
"05.01.2016 06:00 - 05.01.2016 06:15","56772","58843"
"05.01.2016 06:15 - 05.01.2016 06:30","58145","60982"
"05.01.2016 06:30 - 05.01.2016 06:45","59839","62935"
"05.01.2016 06:45 - 05.01.2016 07:00","61221","64390"
"05.01.2016 07:00 - 05.01.2016 07:15","63064","66425"
"05.01.2016 07:15 - 05.01.2016 07:30","62550","67892"
"05.01.2016 07:30 - 05.01.2016 07:45","63243","69104"
"05.01.2016 07:45 - 05.01.2016 08:00","64364","70257"
"05.01.2016 08:00 - 05.01.2016 08:15","65145","71101"
"05.01.2016 08:15 - 05.01.2016 08:30","65309","71436"
"05.01.2016 08:30 - 05.01.2016 08:45","65537","71909"
